Code,Name,Sales Price,Actual Quantity,Free Stock Quantity,Standard Cost,Manufacturer,Quantity on POP Order,Inactive Date
SPONG001,Frozen Genoise Chocolate Sheets 9 x 580mm x 380mm x 7mm -TOO,34.75000,0.00000,0.00000,24.32000,RAN001,0.00000,
SPONG002,Frozen Genoise Natural Sheets 9 x 580mm x 380mm x 7mm - TOO,32.20000,0.00000,0.00000,22.53000,RAN001,0.00000,
SPR05,Catering Nutella 750gm,7.95000,0.00000,0.00000,4.97000,CON002,0.00000,11/10/2025
SPR05A,Catering Nutella 630gm,6.70000,12.00000,12.00000,4.04333,CON002,12.00000,
SPR08,Nutella Portions 120 x 15gm,26.05000,0.00000,0.00000,13.10800,CON002,6.00000,
SPR20,Lotus Biscoff Spread 1.6kg,14.15000,5.00000,5.00000,9.24750,BOO001,0.00000,
SPR25A,Skippy Smooth Peanut Butter 340gm,3.45000,0.00000,0.00000,2.00000,OCA001,0.00000,10/02/2025
SPR25B,Sun Pat Smooth Peanut Butter 1kg,7.80000,27.00000,27.00000,5.37666,HAI001,0.00000,
SPR25BA,Sun Pat Smooth Peanut Butter 1kg - STG,7.80000,0.00000,0.00000,5.37666,HAI001,0.00000,30/09/2025
SPR26A,Skippy Super Crunch Peanut Butter 340gm,3.45000,0.00000,0.00000,2.00000,OCA001,0.00000,10/02/2025
SPR26B,Sun Pat Crunchy Peanut Butter 1kg,7.80000,11.00000,11.00000,4.84000,HAI001,0.00000,
SPR30,WowButter SMOOTH Peanut Free Soya Spread 500gm,6.85000,0.00000,0.00000,4.79000,,0.00000,11/10/2025
SPR31,WowButter CRUNCHY Peanut Free Soya Spread 500gm,6.85000,0.00000,0.00000,4.79000,,0.00000,19/06/2024
SPR32,ManiLife Original Roast Smooth Peanut Butter 900gm,16.15000,2.00000,2.00000,10.80000,OCA001,0.00000,
SQU01,Clear Squeezy Bottle 12oz / 340ml,1.20000,24.00000,24.00000,0.82000,URO001,0.00000,
SQU02,Clear Squeezy Bottle 24oz / 681ml,2.30000,22.00000,22.00000,1.52000,URO001,0.00000,
SQU03,Clear Squeezy Bottle 35oz,3.40000,20.00000,20.00000,1.75000,URO001,0.00000,
SQUIDR001,Frozen Battered Squid Rings 500gm,3.00000,0.00000,0.00000,2.06670,RUS001,0.00000,
SQUIDR002,Pacific West Frozen Panko Coated Squid Rings 700gm,12.55000,0.00000,0.00000,8.66700,RUS001,0.00000,14/11/2024
SQUIDR002A,Arctic Royal Frozen Panko Coated Squid Rings 1kg,12.55000,7.00000,7.00000,7.00000,RUS001,0.00000,
SQUIDR003,Frozen Raw Squid Rings 600gm,5.50000,0.00000,0.00000,3.80000,Ruskim,0.00000,23/06/2023
SQUIDS001,Frozen Ocean Pearl Salt & Pepper Squid 1kg,12.90000,0.00000,0.00000,7.40000,RUS001,0.00000,21/02/2025
SQUIDS001A,Frozen Arctic Royal Salt & Pepper Pineapple Cut Squid 1kg,12.90000,42.00000,42.00000,7.00000,RUS001,0.00000,
SQUIDS001B,Little Fisher Salt & Pepper Squid 500gm,6.45000,0.00000,0.00000,3.40000,RUS001,0.00000,11/09/2025
SQUIDS001C,Frozen Pacific West Salt & Pepper Squid 1kg,15.95000,7.00000,7.00000,10.66666,RUS001,0.00000,
SQUIDS002,Salt and Pepper Pineapple Cut Squid 1kg,0.00000,0.00000,0.00000,0.00000,,0.00000,18/11/2024
SQUIDS003,Frozen Thai Star Salt & Pepper Squid 500gm,6.45000,0.00000,0.00000,3.75000,NOR001,0.00000,11/09/2025
SQUIDT001,IQF Raw Squid Tubes 1kg,5.30000,44.00000,44.00000,3.05000,RUS001,0.00000,
STAIN03,Tannin Tea & Coffee Stain Remover Liquid 5ltr - TOO,4.00000,1.00000,1.00000,2.67000,BAR002,0.00000,
STATI001,Sharpie Black Permanent Markers 1 x 5,7.25000,3.00000,3.00000,4.26666,OCA001,0.00000,
STATI002,BIC Cristal Original BLACK Ballpoint Pens 1 x 10,3.95000,5.00000,5.00000,1.80000,OCA001,0.00000,
STATI003,BIC Cristal Original BLUE Ballpoint Pens 1 x 10,3.95000,2.00000,2.00000,2.71000,OCA001,0.00000,
STATIO001,Plain White A4 Paper 1 x 500 Sheets,4.65000,0.00000,0.00000,3.70000,NOR002,0.00000,23/09/2025
STE01,Fresh Rump Steak,21.90000,14243.14000,14243.14000,0.00000,,0.00000,
STE02,Premium Sirloin Steak,35.55000,10362.48700,10362.48700,0.00000,RPM001,0.00000,
STE03,Fillet Steak,48.50000,9277.00700,9277.00700,0.01000,,0.00000,
STE03A,Fillet Middle,49.50000,13808.35900,13808.35900,0.01000,,0.00000,
STE03B,Beef Chateaubriand,29.99000,944.26300,944.26300,0.01000,,0.00000,
STE04,Fresh Rib-eye Steak,29.65000,13566.09400,13566.09400,0.00000,,0.00000,
STE05,T-Bone Steak,22.45000,9941.28100,9941.28100,12.99000,,0.00000,
STE06,Minute Steak - batch code:,15.85000,14458.48900,14458.48900,7.50000,,0.00000,26/03/2024
STE06A,Minute Steak Approx. 130-150gm,2.99000,96686.00000,96686.00000,1.12500,,0.00000,
STE08,Hanger Steak,11.99000,9985.28000,9985.28000,5.00000,,0.00000,29/12/2025
STE11,Flat Iron Steaks,12.70000,9959.82400,9959.82400,0.00000,KES001,0.00000,
STE13,Bavette Steak,17.55000,14069.05200,14069.05200,11.80000,DBF001,0.00000,
STE14,Toma Hawk Steak 900-1.1kg,22.25000,9796.05500,9796.05500,15.99000,DBF001,0.00000,
STE15,Cote Du Boeuf 900gm-1.1kg,21.35000,952.66000,952.66000,15.35000,,0.00000,
STEBAV001,Bavette Steak 6oz - 7oz,13.80000,0.00000,0.00000,0.00000,DBF001,0.00000,01/07/2025
STEBAV002,Bavette Steak 7oz - 8oz,13.80000,0.00000,0.00000,0.00000,DBF001,0.00000,01/07/2025
STEFIL01,4oz Fillet Steak,48.50000,0.00000,0.00000,0.01000,,0.00000,01/07/2025
STEFIL02,6oz Fillet Steak,48.50000,0.00000,0.00000,0.01000,,0.00000,01/07/2025
STEFIL03,8oz Fillet Steak,48.50000,0.00000,0.00000,0.01000,,0.00000,01/07/2025
STEKID001,Premium Hand Diced Steak & Kidney 500g,8.65000,0.00000,0.00000,0.00010,,0.00000,01/07/2025
STEKID002,Premium Hand Diced Steak & Kidney 1kg,8.65000,0.00000,0.00000,0.00010,,0.00000,01/07/2025
STEKID003,Premium Hand Diced Steak & Kidney 2.5kg,8.65000,0.00000,0.00000,0.00010,,0.00000,01/07/2025
STEPO01,4oz Boneless Pork Loin Steak,5.99000,0.00000,0.00000,0.00100,,0.00000,01/07/2025
STEPO02,6oz Boneless Pork Loin Steak,5.99000,0.00000,0.00000,0.00100,,0.00000,05/08/2025
STEPO03,8oz Boneless Pork Loin Steak,5.99000,0.00000,0.00000,0.00100,,0.00000,01/07/2025
STEPO04,10oz Boneless Pork Loin Steak,5.99000,0.00000,0.00000,0.00100,,0.00000,01/07/2025
STERI01,4oz Fresh Ribeye Steak,3.40000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERI02,6oz Fresh Ribeye Steak,5.05000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERI03,8oz Fresh Ribeye Steak,6.75000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERI04,10oz Fresh Ribeye Steak,8.45000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERI05,12oz Fresh Ribeye Steak,10.15000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERI06,14oz Fresh Ribeye Steak,11.80000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERI07,16oz Fresh Ribeye Steak,13.50000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERU01,4oz English Rump Steak,2.50000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERU02,6oz English Rump Steak,3.74000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERU03,8oz English Rump Steak,4.99000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERU04,10oz English Rump Steak,6.24000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERU05,12oz English Rump Steak,7.49000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERU06,14oz English Rump Steak,8.73000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STERU07,16oz English Rump Steak,9.98000,0.00000,0.00000,0.00000,,0.00000,01/07/2025
STESI01,4oz Premium Sirloin Steak,4.03000,0.00000,0.00000,0.01000,RPM001,0.00000,01/07/2025
STESI02,6oz Premium Sirloin Steak,6.05000,0.00000,0.00000,0.01000,RPM001,0.00000,01/07/2025
STESI03,8oz Premium Sirloin Steak,8.07000,0.00000,0.00000,0.01000,RPM001,0.00000,01/07/2025
STESI04,10oz Premium Sirloin Steak,10.09000,0.00000,0.00000,0.01000,RPM001,0.00000,01/07/2025
STESI05,12oz Premium Sirloin Steak,12.10000,0.00000,0.00000,0.01000,RPM001,0.00000,01/07/2025
STESI06,14oz Premium Sirloin Steak,14.12000,0.00000,0.00000,0.01000,RPM001,0.00000,01/07/2025
STESI07,16oz Premium Sirloin Steak,16.14000,0.00000,0.00000,0.01000,RPM001,0.00000,01/07/2025
STEWAR004,Barry Callebaut Great British 55% Dark Chocolate Button 10kg,177.75000,0.00000,0.00000,119.10000,CAL001,0.00000,03/12/2025
STEWAR004A,Stewart & Arnold Great British DARK Chocolate 10kg,152.75000,0.00000,0.00000,105.40000,CAL001,0.00000,07/11/2025
STEWAR005,Barry Callebaut Great British Milk Chocolate Buttons 10kg,182.40000,0.00000,0.00000,122.20000,CAL001,0.00000,03/12/2025
STEWAR005A,Stewart & Arnold Great British MILK Chocolate 10kg,80.00000,0.00000,0.00000,55.20000,CAL001,0.00000,18/10/2024
STEWAR006,Barry Callebaut Great British White Chocolate Buttons 10kg,192.10000,0.00000,0.00000,128.70000,CAL001,0.00000,03/12/2025
STEWAR006A,Stewart & Arnold Great British WHITE Chocolate 10kg,69.45000,0.00000,0.00000,48.60000,CAL001,0.00000,18/10/2024
STEWAR007,Barry Callebaut Great British 70% Dark Chocolate Button 10kg,188.50000,0.00000,0.00000,126.30000,CAL001,0.00000,03/12/2025
STEWAR007A,Stewart & Arnold Great British DARK 71.3% Chocolate 10kg,74.95000,0.00000,0.00000,51.70000,CAL001,0.00000,18/10/2024
STO16,Essential Cuisine Turkey Stock Mix 800gm / 50ltr,21.90000,0.00000,0.00000,14.65000,ESS001,0.00000,
STO18,Essential Cuisine Beef Stock Mix 800gm / 50ltr,21.90000,3.00000,3.00000,14.65000,ESS001,0.00000,
STO19,Essential Cuisine Chicken Stock Mix 800gm / 50ltr,21.90000,77.00000,77.00000,14.65000,ESS001,0.00000,
STO20,Essential Cuisine Vegetable Stock Mix 800gm / 50ltr,21.90000,0.00000,0.00000,14.65000,ESS001,12.00000,
STO22,Essential Cuisine Fish Stock Mix 700gm / 40ltr,21.90000,5.00000,5.00000,14.65000,ESS001,0.00000,
STO23,Essential Cuisine Lamb Stock Mix 700gm / 40ltr,21.90000,3.00000,3.00000,14.65000,ESS001,0.00000,
STO23A,Essential Cuisine Lamb Stock Mix 700gm / 40ltr - STG,21.90000,1.00000,1.00000,14.65000,ESS001,0.00000,
STO25,Essential Cuisine Mushroom Stock Mix 700gm / 40ltr,21.90000,4.00000,4.00000,14.65000,ESS001,0.00000,
STO26,Essential Cuisine Asian Aromatic Stock Base 1kg,19.35000,0.00000,0.00000,12.18000,ESS001,0.00000,01/05/2023
STOCK001,Knorr Stock Pot 4's Chicken 112gm,1.85000,0.00000,0.00000,1.30000,UNI001,0.00000,05/06/2024
STOCK002,Knorr Stock Pot 4's Vegetable 112gm,1.85000,0.00000,0.00000,1.30000,UNI001,0.00000,05/06/2024
