(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0D9HRJMFR,B0D9HRJMFR,REGGIA Cannelloni Tubes 250gm (Pack of 3),PAS12A - 017 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£8.54,£0.00,1,0
B0DDTRT5CB,B0DDTSQC9X,Centaur - French Verjus De Perigord - 500ml (1 Bottle),VIN43A - 001 Prime,1,0,0.11%,0.00%,3,0,0.24%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£14.95,£0.00,1,0
B0DDXY49FJ,B0DDXY49FJ,"Anti-Bacterial Probe Wipes, Alcohol-Free, Quat-Free, 200 Wipes, Sheet Size: 12cm x 15cm (Pack of 6)",NON40B - 003 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£35.58,£0.00,1,0
B0DFMRZ5DP,B0DFMRZ5DP,La Perruche Rough Cut White Sugar Cubes 1kg - (Pack of 4),SUG16 - 002 Prime,2,0,0.21%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,1,50.00%,0.00%,£21.35,£21.35,1,1
B0DPJ458LV,B0DPJ458LV,Centaur - Duck Fat - 1kg,FAT03C - 001,7,1,0.75%,2.17%,8,1,0.64%,1.54%,100.00%,100.00%,1,0,14.29%,0.00%,£12.93,£0.00,1,0
B0DPLFN2WF,B0DPLFN2WF,Merchant Gourmet - Simply Cooked Chestnuts - 500gm - (Pack of 3),NUT15E - 005 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£16.81,£0.00,1,0
B0DTQ3HNZZ,B0DTQ3HNZZ,Fontinella - Baked Beans in Tomato Sauce - 800g - (Pack of 6),BEA17 - 002 Prime,2,0,0.21%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£15.47,£0.00,1,0
B0DZDVXYD1,B0DZDVXYD1,"Crusha Bundle - Banana, Chocolate & Strawberry - 3 x 500ml",Bundle - 216 Prime,4,0,0.43%,0.00%,5,0,0.40%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,£11.49,£0.00,1,0
B0DZHXTDND,B0DZHXTDND,Clarks - Maple Flavoured Syrup - 1ltr,SYR05C - 001 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£9.36,£0.00,1,0
B0F222QD7S,B0F222QD7S,Bulky Soft - Black 2ply Cocktail Napkins - 2000 x 24cm x 24cm - (32204),NAPKIN108 - 001 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£28.78,£0.00,1,0
B0F38VZ9TS,B0F38VZ9TS,"DAZ Washing Powder for Whites & Colours, 6.25kg - 125 Washes, Powerful Cleaning, Fresh Fragrance - Household",CLE22AA - 003 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£24.93,£0.00,1,0
B0F3JNCLXJ,B0F3JNCLXJ,Grandma Wild's Assorted Biscuits (4 Variety) 100 x 2 Bisc,GRANDM001 - 001 Prime,6,1,0.64%,2.17%,6,1,0.48%,1.54%,100.00%,100.00%,2,0,33.33%,0.00%,£59.38,£0.00,1,0
B0F445TJ4G,B0F445TJ4G,Caterers Pride - GRAPEFRUIT Segments In Light Syrup - 540gm - (Pack of 12),FRU07B - 002,1,0,0.11%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£27.54,£0.00,1,0
B0F4KN5GBN,B0F4KN5GBN,Osprio Giant Cous Cous 1kg,OSPRIO021 - 001 Prime,2,0,0.21%,0.00%,3,0,0.24%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£7.50,£0.00,1,0
B0F6TP6WCD,B0F6TP6WCD,La Perruche - Wrapped MIXED Individual Sugar Cubes 2.5kg - (Pack of 4),SUG31 - 004,2,0,0.21%,0.00%,3,0,0.24%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£114.52,£0.00,1,0
B0F74KQJLS,B0F74KQJLS,Triple Lion - Garlic Puree - 1kg,GAR01AA - 001 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£9.38,£0.00,1,0
B0F7R11Z5K,B0F7R11Z5K,Douwe Egberts Traditional Filter Coffee Sachets – Pack of 45 x 50g (Total 2250g) + Filters – Smooth & Rich Coffee Blend,COF22B - 007,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,1,0.00%,0.00%,£54.24,£54.24,1,1
B0F7YW7WGM,B0F7YW7WGM,Nestlé GoFree Rice Pops Gluten-Free Cereal – 4 x 350g | Light & Crispy Breakfast Cereal | Suitable for Gluten-Free Diets,CER38 - 002 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,2,0,200.00%,0.00%,£32.28,£0.00,1,0
B0F91WW7CC,B0F91WW7CC,"24 x 51g Bars – Mars Chocolate Bars Milk Chocolate Bulk Box – Soft Nougat, Rich Caramel & Smooth Chocolate – Individually Wrapped Treats for Gifting & Snacking",CHO31B - 015,3,0,0.32%,0.00%,5,0,0.40%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,£18.48,£0.00,1,0
B0FBS2X2ZC,B0FBS2X2ZC,Penn State Sour Cream & Chive Pretzels – 33 x 30g | Baked Wheat & Potato Snacks | Vegetarian | Individually Wrapped,PRETZEL001 - 002,4,0,0.43%,0.00%,7,0,0.56%,0.00%,14.29%,0.00%,1,0,25.00%,0.00%,£27.98,£0.00,1,0
B0FCMYY351,B0FCMYY351,Folkington's - Sparkling ELDERFLOWER Presse (Glass) - 12 x 330ml,FOL21 - 002,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£25.99,£0.00,1,0
B0FH317Q4R,B0FH317Q4R,Boudin Noire (Black Pudding) 370g – Traditional French Pork Sausage – Shelf Stable – by Centaur Foods,BLA03 - 001 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£12.99,£0.00,1,0
B0FJ92NLHF,B0FJ92NLHF,"Chef Approved Tartare Sauce Sachets – 200 × 9 g Portions – Creamy, Tangy Condiment Sachets",CAS009 - 001,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£13.99,£0.00,1,0
