SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
CER25E - 001 Prime,"Alpen Original Swiss Style Muesli Sachets, 45g (30 sachets)",314.0,9.0,2.87,161.41,17.93
CER25E - 001,"Alpen Original Swiss Style Muesli Sachets, 45g (30 sachets)",314.0,10.0,3.18,169.9,16.99
JUS04,Essential Cuisine Premier Red Wine Jus - 1x1.2kg,310.0,6.0,1.94,229.32,38.22
RETAIL026 - 001,"Maille Dijon Original Mustard since 1747 condiment for salads, chicken, and fish 215 g",310.0,1.0,0.32,6.83,6.83
CATER002 - 001 Prime,Caterwrap Aluminium Catering Foil Catering Quality Strong 14Mu 450mm x 75m,308.0,20.0,6.49,279.4,13.97
CHU00E - 001,Geeta's Lime Pickle 1.3kg - Indian Pickle Jar The Real Flavour of India No Artificial Flavours or Colours Ready to Serve Pickles,307.0,9.0,2.93,94.05,10.45
DRI12B-002,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",307.0,43.0,14.01,495.78,11.53
CHU00E - 001 Prime,Geeta's Lime Pickle 1.3kg - Indian Pickle Jar The Real Flavour of India No Artificial Flavours or Colours Ready to Serve Pickles,307.0,17.0,5.54,189.04,11.12
UHT03B - 002,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,306.0,12.0,3.92,585.84,48.82
UHT03B - 002 Prime,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,306.0,20.0,6.54,1009.2,50.46
MUS01 - 001 Prime,Merchant Gourmet Chef's Dried Mixed Mushrooms 400g,305.0,1.0,0.33,19.27,19.27
MUS01 - 001,Merchant Gourmet Chef's Dried Mixed Mushrooms 400g,305.0,1.0,0.33,18.6,18.6
PAS06 - 001 Prime,Triple Lion Professional Chef's Macaroni Elbows 100% Durum Wheat Semolina Pasta 3kg,304.0,1.0,0.33,11.79,11.79
TATESY003 - 001,Lyle's Golden Syrup Maple Flavour 2.80kg,304.0,31.0,10.2,386.61,12.47
PAS06 - 001,Triple Lion Professional Chef's Macaroni Elbows 100% Durum Wheat Semolina Pasta 3kg,304.0,24.0,7.89,236.64,9.86
28-U59T-IUF2,Rummo Premium Italian GLUTEN FREE Bundle,302.0,12.0,3.97,164.33,13.69
CAMBR016 - 001,"Cambrook - Giant Chilli Corn, 650g Bag",302.0,1.0,0.33,11.51,11.51
CRI39 - 002 Prime,"BROWN BAG CRISPS ABERDEEN ANGUS BEEF & ONION (20x40g) - Multipack Crisps Bulk, Beef and Onion Crisps | Crisps Multipack Box, Beef Crisps Box | Crisps Share Bag, Sharing Bag | Grab Bag Crisps Pantry",299.0,21.0,7.02,373.97,17.81
