SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
Mae Ploy Bundle - 003 Prime,"Mae Ploy Authentic Thai Assorted Curry Paste 400g - Massaman, Red, Green & Yellow Curry Sauce (Pack of 4) HALAL",77.0,7.0,9.09,122.43,17.49
MCD05,McDougalls Fish Batter Mix - 1x3.5kg,77.0,12.0,15.58,201.43,16.79
PAS06D - 001,Reggia Pasta Elbows 500G,76.0,1.0,1.32,5.04,5.04
SUG17B,La Perruche Brown Cubes Rough Cut - 8x1kg,76.0,1.0,1.32,38.39,38.39
MED03D - 003,Chefs Brigade Sundried Tomatoes NO OIL 1kg (1),76.0,2.0,2.63,29.44,14.72
MED03D - 003 Prime,Chefs Brigade Sundried Tomatoes NO OIL 1kg (1),76.0,7.0,9.21,107.24,15.32
CUS10A,Essential Cuisine - Crème Anglaise Dessert Mix - 1.02kg,76.0,6.0,7.89,144.9,24.15
MACPHI004 - 012 Prime,"Panna Cotta 1L Macphie Simply heat, chill & serve",75.0,11.0,14.67,126.13,11.47
COR51 - 001 Prime,Bottlegreen Lemongrass with Ginger Cordial (500ml) - Pack of 2,75.0,15.0,20.0,215.57,14.37
VEG21 - 002,"MAGGI Rich and Rustic Tomato Sauce, 800 g",75.0,13.0,17.33,90.0,6.92
Crisps Bundle - 006 Prime,Brown Bag Oak Smoked Chilli Crisps and West Country Cheddar & Onion Crisps (2 Boxes),75.0,6.0,8.0,188.88,31.48
MACPHI004 - 012,"Panna Cotta 1L Macphie Simply heat, chill & serve",75.0,3.0,4.0,32.2,10.73
BAK05C - 003 Prime,"Chef William Bicarbonate of Soda, 1kg",74.0,1.0,1.35,6.9,6.9
SPI06 - 001 Prime,San Marcos Chipotle Peppers in Adobo Sauce| 28 oz| Dried and Smoked Jalape?os in a Tangy| Slightly Sweet Red Sauce.,74.0,12.0,16.22,116.6,9.72
FRU04 - 001 uk shipping,Parkers Princes Solid Pack Rhubarb 2.82kg,74.0,1.0,1.35,13.37,13.37
ORI300B - 001 Prime,"Yutaka Crispy Fried Onions 500g | Ready-to-Eat Golden Topping for Sushi, Salads, Burgers & Asian Dishes | Crunchy, Savoury Garnish | Vegan-Friendly",73.0,9.0,12.33,77.4,8.6
SOUTHD007 - 001 prime,South Downs Water Still CANS 24 x 330ml,73.0,11.0,15.07,199.42,18.13
HOT09A - 003,MARMITE ORIGINAL 250G,73.0,6.0,8.22,52.68,8.78
OIL07B - 002,Pura Refined Vegetable Oil 5L,72.0,3.0,4.17,43.86,14.62
FIREF001 - 003 Prime,Firefly Still Botanical Drinks in Glass 330ml (Pack of 12) Peach & Green Tea,72.0,13.0,18.06,298.22,22.94
