SKU,ASIN,Status,Buy Box Price,Lowest Price,Currency,Our Price,Winning,Offers
"CAN03 - 005",,Success,,18.25,GBP,19.36,No,2
"CAN03 - 008",,Success,,15.28,GBP,19.36,No,26
"CAN03 - 009",,Success,19.36,19.36,GBP,19.36,Yes,3
"CAN03 - 012",,Success,,19.36,GBP,19.36,No,5
"CAN03 - 013",,Success,,19.36,GBP,19.36,No,5
"CAN03A - 001",,Success,,15.49,GBP,21.18,No,19
"CAN03A - 002",,Success,,15.95,GBP,21.18,No,14
"CAN03A - 003",,Success,,15.49,GBP,21.18,No,19
"CAN03A - 004",,Success,,16.83,GBP,21.18,No,15
"CAN03A - 005",,Success,18,18,GBP,20.35,No,6
"CAN04 - 004",,Success,,21.52,GBP,21.52,No,8
"CAN06 - 002 Prime",,Success,,16.9,GBP,22.93,No,3
"CAN09 - 001 Prime",,Success,21.89,21.89,GBP,21.89,Yes,1
"CAN16A - 001",,Success,8,8,GBP,19.33,No,15
"CAN18 - 001",,Success,10.5,10.5,GBP,,No,6
"CAN19 - 001",,Success,8,8,GBP,,No,7
"CAN20 - 003",,Success,8,8,GBP,,No,8
"CAN21 - 001",,Success,,15.98,GBP,22.6,No,14
"CAN21 - 001 Prime",,Success,,15.98,GBP,22.6,No,14
"CAN23 - 003",,Success,,14.99,GBP,21.07,No,13
"CAN23 - 005",,Success,,15.99,GBP,21.07,No,2
"CAN23 - 007",,Success,7.5,7.5,GBP,20.74,No,28
"CAN23 - 007 Prime",,Success,7.5,7.5,GBP,20.74,No,28
"CAN23 - 008",,Success,,19.79,GBP,20.62,No,2
"CAN23 - 009",,Success,20.62,20.62,GBP,20.62,Yes,2
"CAN28 - 001",,Success,,14.38,GBP,18.99,No,13
"CAN28 - 002",,Success,14.38,14.38,GBP,18.99,No,14
"CAN28 - 003",,Success,7.5,7.5,GBP,18.99,No,13
"CAN28 - 005",,Success,,18.99,GBP,18.99,No,2
"CAN28 - 006",,Success,18,18,GBP,18.99,No,3
"CAN28 - 007",,Success,,15.49,GBP,18.99,No,9
"CAN28 - 008",,Success,,18.98,GBP,18.99,No,6
"CAN28 - 009",,Success,18.99,18.99,GBP,18.99,Yes,1
"CAN28 - 010",,Success,18.5,18.5,GBP,18.99,No,2
"CAN28 - 011",,Success,18.99,18.99,GBP,18.99,Yes,2
"CAP01B",,Success,13.79,13.79,GBP,13.79,Yes,2
"CAP01B Prime",,Success,13.79,13.79,GBP,13.79,Yes,2
"CAP02B",,Success,15.33,15.33,GBP,15.33,Yes,2
"CAP02B Prime",,Success,15.33,15.33,GBP,15.33,Yes,2
"CAP02C - 001",,Success,19.47,19.47,GBP,19.47,Yes,2
"CAP02C - 001 one day",,Success,19.47,19.47,GBP,19.47,Yes,2
"CAP03A",,Success,14.45,14.45,GBP,14.45,Yes,2
"CAP03A Prime",,Success,14.45,14.45,GBP,14.45,Yes,2
"CAS001 - 001",,Success,21.98,15.54,GBP,15.54,No,2
"CAS001 - 002",,Success,14.92,14.92,GBP,14.95,No,2
"CAS002 - 001",,Success,10.63,10.63,GBP,10.63,Yes,2
"CAS002 - 002",,Success,10.63,10.63,GBP,10.63,Yes,2
"CAS003 - 001",,Success,16.75,16.72,GBP,17.68,No,6
"CAS005 - 001",,Success,9.85,9.85,GBP,9.85,Yes,3
"CAS007 - 001 Prime",,Success,10.78,10.81,GBP,,No,5
"CAS009 - 001",,Success,,,,,No,0
"CATER001 - 001 Prime",,Success,10.23,10.23,GBP,12.19,No,6
"CATER001 - 002 Prime",,Success,11.39,15.99,GBP,12.19,No,8
"CATER002 - 001 Prime",,Success,12.49,12.49,GBP,14.98,No,11
"CATER002 - 002",,Success,12.45,25.46,GBP,14.4,No,15
"CATER002 - 002 Prime",,Success,12.45,25.46,GBP,14.4,No,15
"CATER003 - 001",,Success,9.48,9.48,GBP,10.01,No,11
