(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0C3MHTFHM,B0C3MHTFHM,Callebaut Milk Couverture Power 41 Chocolate 2.5kg,CAL09 - 002 prime,386,6,227,15,613,21,0.36%,0.42%,0.28%,0.24%,0.33%,0.27%,492,8,281,17,773,25,0.35%,0.40%,0.26%,0.20%,0.31%,0.23%,3.77%,0.00%,3,0,0.49%,0.00%,£167.16,£0.00,2,0
B0C521CFV6,B0C521CFV6,Taylors of Harrogate Ceylon Tea 6 x 20 Individually Wrapped Tea Bags,TAYLOR007 - 003,1,0,2,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,2,0,66.67%,0.00%,£32.59,£0.00,2,0
B0CB1RQVNP,B0CB1RQVNP,Fresher's No Added Sugar Orange Drink 5ltr,COR34A - 001,8,0,8,1,16,1,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,9,0,10,1,19,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,94.12%,100.00%,2,0,12.50%,0.00%,£23.06,£0.00,2,0
B0CB8LM13P,B0CB8LM13P,"Brown Bag Lightly Salted, Cheddar & Onion, Oak Smoked Chilli Crisps 60 x 40g",Bundle - 008 Prime,10,2,8,0,18,2,0.01%,0.14%,0.01%,0.00%,0.01%,0.03%,13,4,9,0,22,4,0.01%,0.20%,0.01%,0.00%,0.01%,0.04%,100.00%,0.00%,2,0,11.11%,0.00%,£85.98,£0.00,2,0
B0CB8LM13P,B0CB8LM13P,"Brown Bag Lightly Salted, Cheddar & Onion, Oak Smoked Chilli Crisps 60 x 40g",Bundle - 008,10,2,8,0,18,2,0.01%,0.14%,0.01%,0.00%,0.01%,0.03%,13,4,9,0,22,4,0.01%,0.20%,0.01%,0.00%,0.01%,0.04%,100.00%,0.00%,2,0,11.11%,0.00%,£91.00,£0.00,2,0
B0CBK2DDJ6,B0CBK2DDJ6,"Chef William Whole Black Peppercorns, 500g",PEP14F - 001 Prime,1,0,4,2,5,2,0.00%,0.00%,0.00%,0.03%,0.00%,0.03%,1,0,4,2,5,2,0.00%,0.00%,0.00%,0.02%,0.00%,0.02%,60.00%,50.00%,4,3,80.00%,150.00%,£44.36,£33.27,2,1
B0CCPJL4SC,B0CCPJGZRV,Busch Meringue Drops 100gm (12 Packs),SWE03E - 003,11,1,7,0,18,1,0.01%,0.07%,0.01%,0.00%,0.01%,0.01%,11,1,7,0,18,1,0.01%,0.05%,0.01%,0.00%,0.01%,0.01%,100.00%,100.00%,2,0,11.11%,0.00%,£48.48,£0.00,2,0
B0CD2L8LRY,B0CD2HY663,Chefs Brigade Sundried Tomatoes NO OIL 1kg (1),MED03D - 003 Prime,17,0,28,1,45,1,0.02%,0.00%,0.03%,0.02%,0.02%,0.01%,20,0,35,1,55,1,0.01%,0.00%,0.03%,0.01%,0.02%,0.01%,94.23%,100.00%,2,0,4.44%,0.00%,£30.64,£0.00,2,0
B0CD2L8LRY,B0CD2JJ6KL,Chefs Brigade Sundried Tomatoes NO OIL 1kg (3),MED03D - 005,3,0,2,1,5,1,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,3,0,3,2,6,2,0.00%,0.00%,0.00%,0.02%,0.00%,0.02%,100.00%,100.00%,2,1,40.00%,100.00%,£73.36,£36.68,2,1
B0CD881KVJ,B0CD881KVJ,Neilson Massey Extract Bundle of 6 Flavours,Bundle - 010 Prime,65,0,50,0,115,0,0.06%,0.00%,0.06%,0.00%,0.06%,0.00%,78,0,54,0,132,0,0.06%,0.00%,0.05%,0.00%,0.05%,0.00%,98.40%,0.00%,2,0,1.74%,0.00%,£53.26,£0.00,2,0
B0CFK15T8M,B0CFJY1Q48,Pom-Bear Crisps Potato Chips 36 X 19G Full | KV&C BRANDED BOX | (Original),CRI50 - 006 Prime,31,0,17,3,48,3,0.03%,0.00%,0.02%,0.05%,0.03%,0.04%,39,0,24,6,63,6,0.03%,0.00%,0.02%,0.07%,0.03%,0.06%,16.67%,0.00%,2,0,4.17%,0.00%,£57.96,£0.00,2,0
B0CL3YPB8G,B0CL3YPB8G, ,DES05 - 008 Prime,3,1,3,0,6,1,0.00%,0.07%,0.00%,0.00%,0.00%,0.01%,3,1,3,0,6,1,0.00%,0.05%,0.00%,0.00%,0.00%,0.01%,100.00%,100.00%,2,0,33.33%,0.00%,£49.50,£0.00,2,0
