(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CLM4P61M,B0CLM57H4L,"Caterers Pride Tinned Fruits (Grapefruit Segments in Syrup 3kg, Pack of 6)",FRU07A - 002,2,0,9,2,11,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,9,2,11,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,90.00%,100.00%,1,1,9.09%,50.00%,£48.76,£48.76,1,1
B0CLM4P61M,B0CLM5MCB7,"Caterers Pride Tinned Fruits (Plum Halves In Syrup 2.6kg, Pack of 6)",FRU03A - 002,3,0,4,1,7,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,5,1,9,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,87.50%,0.00%,1,0,14.29%,0.00%,£40.69,£0.00,1,0
B0CLM75717,B0CLM94PFQ,"Buchanan Dried Fruits (Whole Pitted Dates 3kg, Pack of 4)",DRIDAT001 - 003 Prime,0,0,6,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,6,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,£37.35,£0.00,1,0
B0CLVFJXHM,B0CLVF6L1P, ,CUP80 - 001,1,0,2,1,3,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,2,1,3,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,100.00%,6,0,200.00%,0.00%,£253.50,£0.00,1,0
B0CLYR8KLB,B0CLYRG3D8,Parkers Dried Sour Cherries 1kg (1),DRI14B - 001 Prime,3,0,6,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,6,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,£25.19,£0.00,1,0
B0CKHTV26K,B0CN3DWRRL, ,VALRHO003 - 003 Prime,7,0,10,0,17,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,17,0,25,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,5.88%,0.00%,£109.99,£0.00,1,0
B0CNDBD7YQ,B0CNDBD7YQ,Heygates Fine Lady Self Raising Flour 1.5kg (Pack of 6),FLO03B - 002 Prime,11,0,14,0,25,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12,0,26,0,38,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,97.30%,0.00%,1,0,4.00%,0.00%,£14.62,£0.00,1,0
B0CNH2LF66,B0CNH2LF66,Flying Goose Sweet Chilli Sauce 725ml,ORI20 - 002 Prime,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,1,0,20.00%,0.00%,£7.37,£0.00,1,0
B0CNH4FCS1,B0CNH4FCS1,AJR Gochujang Korean Hot Red Pepper Bean Paste 500gm (case of 6),ORI70A - 003,8,0,12,0,20,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,13,0,23,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95.24%,0.00%,1,0,5.00%,0.00%,£21.89,£0.00,1,0
B0CNTV36HN,B0CNTV36HN,Jacob's Selection 7 Cracker Varieties 4 x 800g,BIS02 - 002 Prime,8,0,22,0,30,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0,25,0,34,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,84.85%,0.00%,1,0,3.33%,0.00%,£48.69,£0.00,1,0
