(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B079H3G32D,B079H3G32D,"Saver Bundle Callebaut, 70% Dark Chocolate Chips (2 x 2.5kg Bundle)",CAL01 - 014,150,3,0.07%,0.05%,197,7,0.07%,0.08%,56.00%,0.00%,19,0,12.67%,0.00%,"£1,440.37",£0.00,14,0
B085W3HF4M,B085W3HF4M,Triple Lion Professional Chef's Macaroni Elbows 100% Durum Wheat Semolina Pasta 3kg,PAS06 - 001,206,4,0.09%,0.06%,250,5,0.09%,0.06%,88.55%,100.00%,18,1,8.74%,25.00%,£206.38,£11.99,14,1
B0D1CND51R,B0D1CND51R,Jacob's - Mini Cheddars RED LEICESTER Flavour Crisps - 30 x 45g,BAR29 - 001 Prime,40,1,0.02%,0.02%,49,1,0.02%,0.01%,26.53%,0.00%,14,0,35.00%,0.00%,£281.40,£0.00,14,0
B0D45NPK7W,B0D45NPK7W,Fresher's Bundle - ORANGE & BLACKCURRANT Drink - 2 X 5ltr (No Added Sugar),Bundle - 124 Prime,65,4,0.03%,0.06%,77,5,0.03%,0.06%,91.55%,80.00%,16,6,24.62%,150.00%,£348.88,£131.34,14,5
B0F38KSDPY,B0F38KSDPY,KTC Crispy Fried Onions 6 x 400g – Original Branded Case Box of 6 Packs,ORI300C - 015,59,1,0.03%,0.02%,77,1,0.03%,0.01%,82.35%,0.00%,17,0,28.81%,0.00%,£334.73,£0.00,14,0
B0FBS2X2ZC,B0FBS2X2ZC,Penn State Sour Cream & Chive Pretzels – 33 x 30g | Baked Wheat & Potato Snacks | Vegetarian | Individually Wrapped,PRETZEL001 - 002,65,3,0.03%,0.05%,83,3,0.03%,0.04%,91.03%,100.00%,17,7,26.15%,233.33%,£526.85,£217.29,14,4
B0FHJ2FHL6,B0FHJ2FHL6,Belazu Black Spaghetti Pasta 500 g,PAS66 - 001 Prime,67,5,0.03%,0.08%,87,5,0.03%,0.06%,91.67%,100.00%,17,1,25.37%,20.00%,£167.28,£9.84,14,1
B00HJVB6YC,B00HJVB6YC,Cooks & Co Chopped Garlic in Oil 1.2kg (Drained Weight 0.95g),GAR02A - 001,63,0,0.03%,0.00%,85,0,0.03%,0.00%,100.00%,0.00%,13,0,20.63%,0.00%,£176.33,£0.00,13,0
B01B7GJWSQ,B01B7GJWSQ,"Tate & Lyle - Fairtrade Light Soft Brown Sugar - Buttery Caramel Flavour and Quick-Dissolving Crystals - For Baking, Sauces & Preserves - Sugar 25kg Bag",TATESO002B - 002,34,3,0.02%,0.05%,43,4,0.02%,0.05%,97.50%,100.00%,18,5,52.94%,166.67%,£731.54,£204.95,13,4
B07N7R5DZQ,B07N7R5DZQ,Essential Cuisine Chicken Stock Mix 800 g,STO19 - 002,35,0,0.02%,0.00%,40,0,0.01%,0.00%,82.93%,0.00%,13,0,37.14%,0.00%,£364.37,£0.00,13,0
