(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B09RV2J5R4,B09RV2J5R4,"Buchanans Whole Pitted Dates 3kg | Perfect for Breakfast, Baking & Cooking | Suitable for Vegans & Vegetarians",28,0,0.00%,0.00%,32,0,0.00%,0.00%,93.55%,0.00%,17,0,60.71%,0.00%,£215.05,£0.00,17,0
B0CYHN4Y2V,B0CYHJYDSD,Kerrymaid - WHIPPING CREAM - (GREEN) - 1ltr (2),92,3,0.01%,0.01%,129,4,0.01%,0.01%,96.55%,50.00%,20,1,21.74%,33.33%,£250.26,£12.57,17,1
B0DPN96VQS,B0DPN96VQS,Golden Swan Vietnamese Prawn Cracker 2 Kg,129,0,0.02%,0.00%,159,0,0.02%,0.00%,81.46%,0.00%,19,0,14.73%,0.00%,£196.82,£0.00,17,0
B0DVCBHP39,B0DVCBHP39,Callebaut Ruby RB2 & Gold Callets Bundle – 2 x 400g | Fruity & Caramel Couverture Chocolate | 32.8% & 30.4%,198,5,0.03%,0.02%,264,5,0.03%,0.01%,34.85%,0.00%,17,0,8.59%,0.00%,£447.23,£0.00,17,0
B0F4XKX4NL,B0F4XKQR3Z,Full Box of Assorted Chocolate Bars – 24/25 Full-Size Packs | Favourite Flavours & Textures (Kit Kat 4 Finger 24 x 41.5g),490,18,0.06%,0.07%,587,23,0.06%,0.06%,65.99%,5.56%,17,1,3.47%,5.56%,£413.27,£24.31,17,1
B0087OSN0A,B0087OSN0A,Sosa Airbag Flour Air Bag Porc Farina Crispy Pork Flour 600 g,81,10,0.01%,0.04%,100,11,0.01%,0.03%,92.55%,100.00%,23,7,28.40%,70.00%,£571.11,£168.69,16,3
B008JYGOPE,B008JYGOPE,forvm chardonnay 500ml,59,1,0.01%,0.00%,67,1,0.01%,0.00%,89.06%,100.00%,17,1,28.81%,100.00%,£335.81,£19.99,16,1
B01BTOSIQI,B01BTOSIQI,Nielsen-Massey Peppermint Extract 60 ml,101,1,0.01%,0.00%,119,1,0.01%,0.00%,69.91%,100.00%,16,1,15.84%,100.00%,£135.65,£8.52,16,1
B071NH9HKM,B071NH9HKM,Middleton Foods Chinese Meat Glaze Marinade Seasoning Mix 2.5kg,180,2,0.02%,0.01%,226,3,0.02%,0.01%,76.89%,0.00%,16,0,8.89%,0.00%,£378.64,£0.00,16,0
B076QKSQFC,B076QKSQFC,McDougalls Fish Batter Mix - 1x3.5kg,22,1,0.00%,0.00%,30,1,0.00%,0.00%,89.29%,100.00%,18,1,81.82%,100.00%,£289.62,£16.09,16,1
B077B43VD5,B077B43VD5,"Heinz Malt Vinegar, 250ml (Case 6)",176,0,0.02%,0.00%,238,0,0.02%,0.00%,24.77%,0.00%,20,1,11.36%,0.00%,£222.12,£10.21,16,1
B0B9K7DLWQ,B088CG2ZC1,"The Bay Tree Marinated Mini Figs, 330 g",154,0,0.02%,0.00%,202,0,0.02%,0.00%,94.79%,0.00%,16,0,10.39%,0.00%,£174.72,£0.00,16,0
B08TRF9ZYP,B08TRF9ZYP,Whole Baby Apples in Syrup,93,5,0.01%,0.02%,103,5,0.01%,0.01%,93.81%,100.00%,40,7,43.01%,140.00%,£263.20,£46.06,16,4
B0CKBXFPP6,B0CKBXFPP6,Riverdene Cranberry Sauce 2.5kg,32,2,0.00%,0.01%,45,2,0.00%,0.01%,81.82%,100.00%,25,3,78.13%,150.00%,£421.23,£54.24,16,2
B0CM9YYM7J,B0CM9YYM7J,Bulky Soft White 2ply Napkins 2000 x 33cm x 33cm / 4 fold (32980),38,13,0.01%,0.05%,59,19,0.01%,0.05%,65.45%,21.05%,20,1,52.63%,7.69%,£640.34,£38.04,16,1
B0CTMZ5B7C,B0CTMZ5B7C,Ballerina Tinned Sweetcorn 2.125kg (Pack of 6),107,2,0.01%,0.01%,130,2,0.01%,0.01%,100.00%,0.00%,17,0,15.89%,0.00%,£601.63,£0.00,16,0
B0CTTNW46W,B0CTTNW46W,Brown Bag Aberdeen Angus Beef & Onion Crisps 20 x 40gm,339,7,0.04%,0.03%,429,11,0.04%,0.03%,56.58%,0.00%,18,0,5.31%,0.00%,£340.23,£0.00,16,0
B0D1878TX3,B0D1878TX3,Chef Approved - Black Pepper Sachets - 1 x 2000,17,3,0.00%,0.01%,19,3,0.00%,0.01%,100.00%,100.00%,17,8,100.00%,266.67%,£260.10,£122.40,16,8
B0DB2GZBVB,B0DB2GZBVB,Belazu Beldi Preserved Lemons (Bundle of 2) – Traditionally Preserved Sweet & Fragrant Thin-Skinned Lemon – 360g Jars (Drained Weight) – Blue Nile Foods,65,1,0.01%,0.00%,80,1,0.01%,0.00%,97.18%,100.00%,16,1,24.62%,100.00%,£151.36,£9.46,16,1
B004CS23EW,B004CS23EW,Gran Reserva Sherry Vinegar 750ml,52,0,0.01%,0.00%,66,0,0.01%,0.00%,66.67%,0.00%,15,0,28.85%,0.00%,£192.48,£0.00,15,0
B00E4MJUHY,B00E4MJUHY,Batchelors Mushy Peas 3 x 300 g,35,1,0.00%,0.00%,42,1,0.00%,0.00%,62.50%,0.00%,17,0,48.57%,0.00%,£125.63,£0.00,15,0
B01AAABOZE,B01AAABOZE,Callebaut Select Dark Chocolate Baking Callets 1 kg,295,15,0.04%,0.06%,378,16,0.04%,0.04%,13.96%,0.00%,15,0,5.08%,0.00%,£351.39,£0.00,15,0
B0C7J9XG2T,B01DO018TY,Taylors of Harrogate Lapsang Souchong Tea 20 Wrapped & Tagged Tea Bags,346,3,0.05%,0.01%,422,4,0.04%,0.01%,12.97%,0.00%,22,0,6.36%,0.00%,£165.42,£0.00,15,0
B01GU0TK22,B01GU0TK22,Active Dry Yeast Fermipan Red,99,3,0.01%,0.01%,133,6,0.01%,0.02%,74.58%,0.00%,16,0,16.16%,0.00%,£128.93,£0.00,15,0
B077395YZB,B077395YZB,Irca 'Praline Noisette' - Hazelnut Praline Paste 1kg,238,14,0.03%,0.05%,310,20,0.03%,0.05%,26.35%,13.33%,15,2,6.30%,14.29%,£384.61,£51.46,15,2
B08J856MT8,B08J856MT8,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 100 Portions Exp 04/26,133,6,0.02%,0.02%,169,8,0.02%,0.02%,89.68%,83.33%,15,3,11.28%,50.00%,£240.51,£48.45,15,3
B093C4T4C7,B093C4T4C7,"Luxury Seed Mix - Pumpkin, Sunflower, Linseed & Poppy Seed 1Kg Mix Parkers Foodservice",15,0,0.00%,0.00%,16,0,0.00%,0.00%,100.00%,0.00%,16,1,106.67%,0.00%,£166.88,£10.43,15,1
B0DPJF7N4F,B0B61CMDQY,"JACOB'S Mini Cheddars Red Leicester Grab Bag, 45 g (Pack of 30)",58,2,0.01%,0.01%,66,2,0.01%,0.01%,40.63%,0.00%,16,0,27.59%,0.00%,£317.29,£0.00,15,0
B0CVLG4MT9,B0CVLCWXB3,"Taylors Tea 1 x 20 Bags (1, Chamomile)",32,1,0.00%,0.00%,42,1,0.00%,0.00%,96.97%,100.00%,22,0,68.75%,0.00%,£166.10,£0.00,15,0
B0D1GKMVN4,B0D1GKMVN4,Seasoners - Pickled SILVERSKIN Onions - 2.25kg (drained weight 1.3kg),48,0,0.01%,0.00%,58,0,0.01%,0.00%,96.30%,0.00%,17,4,35.42%,0.00%,£207.57,£48.84,15,2
