parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,is_prime,base_sku,sku_category,conversion_rate,avg_order_value,revenue_per_session,buy_box_win_rate,high_conversion,high_revenue
B09SHFV2XK,B09SHFV2XK,Centaur Champagne Vinegar 750ml,VIIN23-001,1,0,0.11,0.0,2,0,0.16,0.0,100.0,0.0,1,0,100.0,0.0,9.39,0.0,1,0,False,VIIN23-001,VIIN,100.0,9.39,9.39,100.0,False,False
B0B9LG1Z5F,B09T3HPZ16,Fontinella Artichoke Hearts in Brine 390g ARTH12 x 12,VEG09G - 002 Prime,1,0,0.11,0.0,1,0,0.08,0.0,100.0,0.0,1,0,100.0,0.0,33.87,0.0,1,0,True,VEG09G,VEG,100.0,33.87,33.87,100.0,False,False
B09VK54B29,B09VK54B29,Lee Kum Kee Premium Dark Soy Sauce 1.75L,SOY07 - 001,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,11.49,0.0,1,0,False,SOY07 - 001,SOY,0.0,11.49,0.0,0.0,False,False
B0B297P6MK,B0B297P6MK,The Fine Cookie Co. Rocky Mountain Road Cookies 1 x 36,FINECO005 - 001,1,0,0.11,0.0,1,0,0.08,0.0,100.0,0.0,2,0,200.0,0.0,85.94,0.0,1,0,False,FINECO005 - 001,FINECO,200.0,42.97,85.94,100.0,True,True
B0DPJF7N4F,B0B61D6XB1,"Jacob's Mini Cheddars Original Grab Bag, 45 g (Pack of 30)",BAR28 - prime,4,0,0.43,0.0,6,0,0.48,0.0,100.0,0.0,2,0,50.0,0.0,39.94,0.0,1,0,True,BAR28 - prime,BAR,50.0,19.97,9.985,100.0,False,False
B0B6QBZGPS,B0B6Q9YB34,Colman's English Mustard 150g x Case of 6,COL10A - 004 Prime,1,0,0.11,0.0,1,0,0.08,0.0,100.0,0.0,1,0,100.0,0.0,22.3,0.0,1,0,True,COL10A,COL,100.0,22.3,22.3,100.0,False,False
B0B99329X1,B0B99329X1,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,UHT03B - 002,8,1,0.85,2.17,9,1,0.72,1.54,100.0,100.0,1,0,12.5,0.0,47.61,0.0,1,0,False,UHT03B - 002,UHT,12.5,47.61,5.95125,100.0,False,True
B0B998R6L4,B0B998R6L4,Parkers Kerrymaid UHT Double Cream 1 Litre,UHT03B - 001 Prime,15,0,1.6,0.0,18,0,1.43,0.0,100.0,0.0,3,0,20.0,0.0,24.39,0.0,1,0,True,UHT03B,UHT,20.0,8.13,1.6260000000000001,100.0,False,False
B0BDM89147,B0BDM89147,"Parkers Lion Blue Cheese Dressing 2.27Litres, White",DRE04 = 001,2,0,0.21,0.0,2,0,0.16,0.0,100.0,0.0,1,0,50.0,0.0,15.82,0.0,1,0,False,DRE04 = 001,DRE,50.0,15.82,7.91,100.0,False,False
B0BLZJZLW6,B0BLZJZLW6,Ingram Brothers Meri-white Meringue and Royal Icing Mix 1.5kg,MCD50A - 001,1,0,0.11,0.0,2,0,0.16,0.0,100.0,0.0,1,1,100.0,0.0,54.0,54.0,1,1,False,MCD50A - 001,MCD,100.0,54.0,54.0,100.0,False,True
