SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
PRE03A - 001,Menz & Gasser Marmalade 100 x 20g_AB,64.0,28.0,43.75,398.16,14.22
FRU60A - 001 Prime,Lychee in Syrup 565g can by Lamthong,55.0,24.0,43.64,228.96,9.54
CAMBR009 - 002 Prime,"Cambrook (1kg, Salted Peanuts)",39.0,17.0,43.59,198.39,11.67
SUG17D,Béghin Say La Perruche Pure Cane Rough Cut Cubes 1kg SUBR1K Case Of 8,23.0,10.0,43.48,352.43,35.24
BAK01 - 005 Prime,Dried Fermipan Yeast 500gm (Pack of 6),30.0,13.0,43.33,320.45,24.65
Bundle - 195 Prime,"Parkers Foodservice Robert Scott - Microfibre Cloth Bundle - PINK, GREEN, BLUE - 3 x 10 x 40cm x 40cm",90.0,39.0,43.33,677.61,17.37
VEG06C - 001 Prime,( 3kg Pack ) Batchelors Chip Shop Style Mushy Peas 3kg,30.0,13.0,43.33,143.91,11.07
CHEFPA05A - 003 Prime,Oscar - BLACK GARLIC Paste 580gm - (Pack of 2),7.0,3.0,42.86,142.56,47.52
OSPRIO023 - 001 Prime,"Osprio Yellow Split Peas 3kg – Premium Pulses for Cooking, Soups & Curries",7.0,3.0,42.86,29.67,9.89
FENTIM007 - 001 Prime,Fentimans Mandarin & Seville Orange Jigger Drinks - 12x275ml,14.0,6.0,42.86,142.91,23.82
PEP100B - 001,Cracked Black Pepper 500g | Triple Lion | Herbs & Seasoning,38.0,16.0,42.11,190.08,11.88
DRIDAT001-002,"Buchanans Whole Pitted Dates 3kg | Perfect for Breakfast, Baking & Cooking | Suitable for Vegans & Vegetarians",55.0,23.0,41.82,286.19,12.44
FIREF003 - 004 Prime,"Firefly Still Botanical Drinks in Glass 330ml (Pack of 12) Kiwi, Lime & Mint",84.0,35.0,41.67,802.9,22.94
MONINS05 - 004,Monin Chocolate 700ml,36.0,15.0,41.67,205.2,13.68
THAITA014 - 002 Prime,Thai Taste Green Curry Paste in Tub 400 g (Pack of 3),12.0,5.0,41.67,75.0,15.0
UHT31B - 004 Prime,"Jersey Ice Cream Mix 1ltr (12, Luxury)",29.0,12.0,41.38,634.56,52.88
DRISUL001-002,"Buchanan Natural Sultanas 3kg | Perfect for Breakfast, Baking and Snacking | Suitable for Vegans and Vegetarians",29.0,12.0,41.38,207.23,17.27
HEI10I - 002,Heinz Malt Vinegar 200 Sachets x 7g,17.0,7.0,41.18,128.31,18.33
TAYLOR001 - 005,Taylors of Harrogate - Caffeine-Free Herbal Infusion Tea Lemon & Ginger - 20 Tea Bags,100.0,41.0,41.0,283.11,6.91
VEG12K - 003 Prime,Cook's & Co - Sliced Green Jalapenos - 820gm - (Pack of 2),44.0,18.0,40.91,180.72,10.04
MONINS30 - 004,Monin Peach Syrup 70cl Bottle - Set of 6 - Peach Syrup Flavouring for Cocktails,32.0,13.0,40.62,758.81,58.37
CAMBR010 - 003 Prime,"Cambrook (1kg, Dry Roasted Peanuts)",32.0,13.0,40.62,160.89,12.38
KZ-ITK0-EINK,Tonka Beans 250g Centaur,116.0,47.0,40.52,1268.53,26.99
TATESO002B - 002,Tate and Lyle Fairtrade Light Soft Brown Sugar 25 kg,94.0,38.0,40.43,1455.4,38.3
CHEFPA06A - PR1,Chef Thickened Veal Jus Sauce Mix - 2x900g,15.0,6.0,40.0,223.8,37.3
FIS10A - 003,Cooks & Co Anchovy Fillets in Sunflower Oil (365g),15.0,6.0,40.0,70.92,11.82
MUSTAR03 - 002 Prime,Centaur Dijon Mustard 1kg (Pack of 2),10.0,4.0,40.0,96.76,24.19
VIN31A - 001,KTC White Vinegar 5 Litres,5.0,2.0,40.0,17.7,8.85
MAJORS003 - 002,Major Gluten Free Beef Stock Powder Mix - 2x1kg,5.0,2.0,40.0,107.78,53.89
MED03D - 005,Chefs Brigade Sundried Tomatoes NO OIL 1kg (3),5.0,2.0,40.0,73.36,36.68
VIN09 - 001 Prime,Centaur Vermouth Vinegar 500ml,5.0,2.0,40.0,23.48,11.74
CORESA002 - 003 Prime,"Parkers CORE Condiments Sachets (4, Tomato)",5.0,2.0,40.0,65.6,32.8
NON40B - 003 Prime,"Anti-Bacterial Probe Wipes, Alcohol-Free, Quat-Free, 200 Wipes, Sheet Size: 12cm x 15cm (Pack of 6)",5.0,2.0,40.0,71.16,35.58
Bundle - 198 Prime,Lazy Bundle - LIME & LEMON Juice - 2 packs of 6 x 1ltr,5.0,2.0,40.0,85.98,42.99
CHEFCO04A - 0001,"OSCAR Chicken Liquid Concentrate 1 L – Premium Stock Base for Soups, Sauces, Gravies & Cooking",5.0,2.0,40.0,43.18,21.59
FINECO005 - 001,The Fine Cookie Co. Rocky Mountain Road Cookies 1 x 36,5.0,2.0,40.0,85.94,42.97
ORI100A,"Japanese Wasabi & Citrus Dressing, 1L",10.0,4.0,40.0,77.52,19.38
NUT25 - 001,Mixed Nuts Kernels 1kg Parkers Foodservice,43.0,17.0,39.53,253.13,14.89
TUN04A - 001 Prime,Parkers CORE - Tuna Chunks Brine - 1.705kg (1 Tin),28.0,11.0,39.29,167.49,15.23
PES12 - 002,Belazu Truffle & Artichoke Pesto 2x165g,18.0,7.0,38.89,76.37,10.91
VEG12K - 001 Prime,Cooks & Co Sliced Green Jalapenos 820 g (Pack of 12),18.0,7.0,38.89,240.34,34.33
FRU60A - 002 Prime,New Lamthong - Lychees in Syrup - 565gm - (Pack of 6),85.0,33.0,38.82,1113.51,33.74
OIL18A - 001,"Centaur Foods Quality 100% French Hazelnut Oil 500ml Amazing for Cooking, Skincare and Hair",31.0,12.0,38.71,141.84,11.82
MUSTAR005 - 001 Prime,Cavalier - Original Recipe DIJON Mustard - 1kg - (Yellow tub),47.0,18.0,38.3,178.2,9.9
VIN17 - 001 Prime,CAPIRETE 20 - Spanish Reserve Sherry Vinegar - 750 ml,97.0,37.0,38.14,442.68,11.96
TATEIC001 - 001,Tate and Lyle Fairtrade Icing Sugar 25 kg,74.0,28.0,37.84,1004.92,35.89
VEG12K - 002 Prime,Cook's & Co - Sliced Green Jalapenos - 820gm,16.0,6.0,37.5,42.12,7.02
VIN10 - 002,Lefktro Spanish White Wine Vinegar 5L (Pack of 3),8.0,3.0,37.5,67.89,22.63
MONINS08 - 002,Monin Coffee Syrup in Amaretto 70cl Glass Bottle & 70cl Pump Set,8.0,3.0,37.5,58.14,19.38
FLO23,Triple Lion Potato Starch - 1x1.5kg,24.0,9.0,37.5,80.55,8.95
COMPOU004 - 001 Prime,Dawn - BANANA Compound - 1kg,8.0,3.0,37.5,112.71,37.57
ORI300C - 010,KTC Crispy Fried Onions - 4 x 400g,104.0,39.0,37.5,535.86,13.74
SOUTHD009 - 001,South Downs Water Still PLASTIC 12 x 1.5ltr,8.0,3.0,37.5,47.01,15.67
GLA07,Essential Cuisine Lamb Glace 600g,16.0,6.0,37.5,184.08,30.68
JAM03C - 003 Prime,"Menz & Gasser - Jam Portions (Plastic) (200 x 20gm, Strawberry)",8.0,3.0,37.5,82.26,27.42
Bundle - 015,"OTT Dessert Topping Sauces (OTT Chocolate, Toffee)",8.0,3.0,37.5,28.44,9.48
SOUTHD002 - 001,South Downs Water Sparkling Glass 24 x 330ml,27.0,10.0,37.04,233.4,23.34
CRI35,"Brown Bag Crisps - Smoked Bacon 40g Bags, Pack of 20",122.0,45.0,36.89,845.45,18.79
BRE03C - 005 Prime,"Centaur - Gluten Free - Panko Style Crumbs - 1kg (1 Pack, 1000, gram)",95.0,35.0,36.84,357.0,10.2
CER20,Triple Lion Tapioca Pearl - 1x3kg,120.0,44.0,36.67,594.88,13.52
GLA09 - 001,"Veal Glace, 600g",30.0,11.0,36.67,381.48,34.68
FIREF003 - 003 Prime,Firefly Kiwi Lime & Mint - 12x330ml,52.0,19.0,36.54,435.86,22.94
FENTIM010 - 003,Fentimans - Victorian Lemonade 275ml Glass Bottle - Pack of 12,11.0,4.0,36.36,95.61,23.9
VIN25,fattoria estense balsamic vinegar silver 25cl,33.0,12.0,36.36,143.16,11.93
MACPHI004 - 002 Prime,Macphie Panna Cotta 1000 x 1,11.0,4.0,36.36,44.92,11.23
RIC17A - 003,"Acquerello Aged Carnaroli Rice, 2 x 500g",69.0,25.0,36.23,479.0,19.16
VEG31 - 001 Prime,Parkers MAGNA - San Marzano Tomatoes (Tin) - 2.55kg,94.0,34.0,36.17,430.86,12.67
DEC20 - 003,Mona Lisa Dark Chocolate Shavings 2.5kg,25.0,9.0,36.0,433.35,48.15
DRE10A - 002 Prime,Lion Ranch Dressing 2.27ltr (2),39.0,14.0,35.9,377.3,26.95
GAR06F - 001 Prime,Chef William Garlic Powder 500gm,14.0,5.0,35.71,47.05,9.41
JUS01 - 002 Prime,Essential Cuisine - VEAL JUS - 1kg - (Pack of 4),14.0,5.0,35.71,649.7,129.94
FLO05DA - 001,Meritena Maize Corn Flour (Sack) 25kg,14.0,5.0,35.71,178.45,35.69
DRIMIX001-002,Buchanans Mixed Dried Fruit Selection with Peel (3kg) | Perfect for Baking Fruit Cakes and Loaves | Suitable for Vegan & Vegetarian,90.0,32.0,35.56,570.73,17.84
VIN55B,Belazu Balsamic Pearls (55g) - Pack of 2,34.0,12.0,35.29,205.44,17.12
DRIDAT002 - 003 Prime,"Buchanan Dried Fruits (CHOPPED Dates 3kg, Pack of 1)",51.0,18.0,35.29,247.96,13.78
WRA06 - 006 Prime,Wrapmaster 4500 Baking Parchment Refill 3 x 50 metres (2 Boxes of 3 Rolls),17.0,6.0,35.29,375.13,62.52
MONINS08a,Monin Amaretto Syrup 70cl Bottle - Monin Coffee Syrup Flavouring by Monin,37.0,13.0,35.14,177.84,13.68
BAK06C - 003,Doves Farm Baking Powder Bulk 1 kg (Pack of 3),29.0,10.0,34.48,269.32,26.93
SPINUT03 - 002 Prime,Chef William Ground Nutmeg 450gm,3.0,1.0,33.33,11.39,11.39
TAYLOR007 - 003,Taylors of Harrogate Ceylon Tea 6 x 20 Individually Wrapped Tea Bags,9.0,3.0,33.33,49.84,16.61
DRIPRU001 - 001 Prime,"Buchanan Dried Fruits (Pitted Prunes 3kg, Pack of 1)",21.0,7.0,33.33,160.83,22.98
CAL01 - 013 Prime,callebaut 70-30-38 2.5kg,30.0,10.0,33.33,542.22,54.22
COREWR002 - 001 Prime,"Parkers CORE Large Cling Film 45cm x 300m, HFR4530CX",3.0,1.0,33.33,13.07,13.07
DRI12B - 004 Prime,"Buchanan Dried Fruits (Glace Cherries 1kg, Pack of 6)",6.0,2.0,33.33,101.74,50.87
TATESA003 - 002 Prime,Tate Lyle Demerara Sugar Sachets{1000 Per Box} UKB Multi Pack savings (2),24.0,8.0,33.33,162.4,20.3
TATESO001B - 001,Tate and Lyle Dark Soft Brown Sugar 25 kg,30.0,10.0,33.33,383.0,38.3
FIREF002 - 004 Prime,Firefly Still Botanical Drinks in Glass 330ml (Pack of 12) Pomegranate & Elderflower,9.0,3.0,33.33,68.82,22.94
FRU04 - 003,Tinned Princes Solid Pack Rhubarb 2.82kg (Pack of 6),3.0,1.0,33.33,60.49,60.49
CORESA002 - 002 Prime,"Chef Approved Condiments Sachets (2, Tomato)",3.0,1.0,33.33,19.81,19.81
STO25 - 002,Essential Cuisine Mushroom Stock MIx - 2x700g,6.0,2.0,33.33,99.08,49.54
CHEFST02 - PR1,"CHEF All Natural Veal Stock, 1 Litre",6.0,2.0,33.33,33.76,16.88
CORESA003 - 001 Prime,"Parkers CORE Condiments Sachets (1, Brown Sauce)",9.0,3.0,33.33,32.52,10.84
CORECH008 - 002,CORE - Machine Dishwash Liquid - 5ltr (2),3.0,1.0,33.33,17.92,17.92
CAL02 - 006,Finest Belgian Chocolate Dark Callets 2.5kg,21.0,7.0,33.33,363.91,51.99
COMPOU002 - 001 Prime,Dawn - LEMON Compound - 1kg,6.0,2.0,33.33,68.42,34.21
MAC02A - 001 Prime,"OTT - Dessert Topping Sauce - 500gm (6, Strawberry)",9.0,3.0,33.33,62.4,20.8
PANKO004 - 002,Chef William - Panko Breadcrumbs (Sack) - 10kg - (Pack of 2),9.0,3.0,33.33,179.28,59.76
PACKAG003A - 001 Prime,Parkers Bagasse Clamshell Takeaway Box 600 x 7inch x 5inch,6.0,2.0,33.33,134.78,67.39
SWE41A - 004 Prime,EP!C Giant Marshmallows 500gm (Pack of 6),6.0,2.0,33.33,67.14,33.57
